id,street,status,price,bedrooms,bathrooms,sq_ft,lat,lng
4125,440 Geary Rd,pending,246956,2,3,1704,33.39193867,-112.1796808
4126,323 Post Way,sold,173824,3,2,2162,33.45554919,-112.1396014
4127,453 5th Dv,pending,293744,2,2,2925,33.54927825,-111.9439168
4128,121 Mission Trl,active,252858,5,2,2779,33.44782993,-112.065646
4129,752 2nd St,active,201937,5,3,1721,33.53877374,-112.1401791
4130,423 California Vis,sold,272259,5,2,1863,33.58688725,-111.8831997
4131,457 Pine Rd,sold,117902,3,3,2033,33.46157459,-112.1878795
4132,403 Wall Rd,active,179493,2,2,3950,33.50897531,-112.2780802
4133,469 7th Rd,sold,260017,4,2,1368,33.40009819,-112.2815918
4134,408 Euclid Wl,active,132511,4,2,1811,33.41563312,-112.0189874
4135,672 California Trl,active,157725,3,1,3247,33.50861721,-112.0737894
4136,173 4th Vis,active,168131,5,3,3707,33.37180354,-111.8907822
4137,398 1st Cir,pending,264593,2,2,3596,33.43390662,-112.0153604
4138,610 Indiana Dv,active,185272,4,1,2476,33.56529614,-112.1159272
4139,621 Texas Dv,active,283377,2,3,1367,33.37950432,-112.3422668
4140,590 Franklin Wl,sold,249596,3,2,3530,33.44175098,-112.3125521
4141,220 California St,active,268951,3,2,1586,33.39888224,-112.0413718
4142,85 3rd Cir,sold,220624,3,3,1115,33.44190278,-112.1156274
4143,112 Geary Way,sold,275594,4,3,3856,33.41843844,-112.1208974
4144,122 2nd Dv,pending,281623,3,2,1895,33.39831969,-112.032368
4145,187 Page Ave,active,157313,3,1,3148,33.50701306,-112.230118
4146,146 Geary Ave,sold,200458,4,1,3770,33.51490591,-111.9621323
4147,444 6th Rd,pending,150980,3,2,2402,33.56266662,-112.3456761
4148,559 Blake Dv,active,179484,5,2,3583,33.39089469,-111.9353548
4149,440 4th Rd,pending,298912,3,2,1580,33.44413809,-112.1599553
4150,46 Post Wl,pending,195706,2,3,2649,33.42926178,-112.1155294
4151,678 9th Ave,active,288840,4,2,3481,33.49988705,-111.9466301
4152,109 Mission Rd,sold,109603,4,2,3245,33.45977812,-112.2459376
4153,379 Texas Dv,active,155398,3,2,3645,33.39901682,-111.9303385
4154,224 5th Rd,pending,235408,2,3,2173,33.58228067,-111.8869707
4155,742 Blake Way,pending,249894,4,3,1081,33.55357786,-112.221621
4156,711 Euclid Pl,sold,123832,3,1,2621,33.40772458,-112.0942008
4157,80 9th Cir,sold,230244,2,3,1482,33.56461795,-112.2583853
4158,354 3rd Rd,pending,174719,4,1,2213,33.47632742,-112.0842135
4159,167 Blake Vis,pending,264698,4,2,2090,33.37283651,-111.8784404
4160,491 Page Cir,active,150917,4,2,1736,33.55669657,-112.0508021
4161,558 Geary Trl,pending,163918,5,2,1534,33.44954221,-112.2964185
4162,27 Walnut St,pending,281846,4,2,1238,33.41012156,-112.3245318
4163,20 Page Trl,pending,147586,4,1,1644,33.43024961,-112.3353082
4164,612 Franklin Cir,sold,242167,4,3,2216,33.40178279,-111.8786747
4165,545 Turk Blvd,pending,202798,2,1,2637,33.48873824,-111.982715
4166,503 Wall Cir,active,241882,4,1,2410,33.36452289,-112.3486416
4167,608 7th Way,pending,260559,4,3,1118,33.38449802,-112.1559415
4168,377 8th Vis,sold,220179,4,2,1997,33.4402875,-111.9058549
4169,730 Bush Cir,pending,127899,2,2,2180,33.59123367,-112.257352
4170,567 Page St,sold,189552,3,1,3172,33.47838237,-112.2888663
4171,345 3rd Dv,sold,161361,3,3,2258,33.52896783,-111.9091685
4172,697 2nd St,pending,246144,5,3,1992,33.49511038,-111.9438144
4173,36 6th Wl,sold,221587,3,1,2215,33.39452486,-112.3395715
4174,452 9th St,sold,215184,4,2,1880,33.4794381,-112.1512869
4175,781 Turk Way,active,125624,5,3,1230,33.37732714,-112.348319
4176,352 Turk Trl,sold,138615,4,2,2629,33.42095264,-112.3077937
4177,30 Walnut Cir,active,282754,3,2,3699,33.50186756,-112.2669891
4178,771 Turk Way,active,239057,3,3,1267,33.58047259,-112.3346637
4179,649 Post Dv,active,267681,5,2,3372,33.37686095,-112.0904132
4180,578 Bush Pl,sold,218470,3,3,1328,33.52322655,-111.8929078
4181,761 Page St,pending,173932,5,1,1255,33.43959761,-112.1897218
4182,391 8th Dv,pending,249664,4,1,3299,33.59408642,-112.08752
4183,352 2nd St,active,221836,3,3,1335,33.59116305,-112.077542
4184,461 5th Dv,pending,293053,2,3,1003,33.50971045,-111.8996196
4185,483 California Rd,active,144384,5,1,2970,33.51406004,-112.2647555
4186,681 Mission Ave,active,141372,3,3,2642,33.55876992,-112.0059318
4187,230 9th Cir,pending,124806,5,2,1132,33.50212731,-112.3136132
4188,58 4th Way,sold,172864,4,3,2352,33.41805719,-112.1038186
4189,528 1st Cir,sold,275485,4,2,1636,33.43145095,-112.154434
4190,783 Texas Way,pending,274897,2,1,1665,33.50840424,-112.0912343
4191,57 Bush Dv,pending,230390,5,2,2414,33.50801597,-112.0339722
4192,291 Texas Trl,active,241153,3,3,3735,33.44677724,-111.9325651
4193,204 2nd Rd,pending,275456,3,1,3183,33.36665187,-112.3311827
4194,54 6th Pl,pending,181582,5,2,1973,33.53841661,-111.8782969
4195,421 Geary Trl,sold,205845,4,2,3998,33.41647299,-112.1849028
4196,47 Euclid Blvd,pending,285225,5,3,2922,33.59093707,-111.9846973
4197,209 Blake St,active,253859,5,3,1032,33.48205861,-112.2940625
4198,755 Post Ave,sold,170886,4,1,3867,33.37573703,-111.8986012
4199,775 Pine Way,sold,219910,5,3,3211,33.36416223,-112.0391639
4200,225 Sutter St,sold,213123,3,3,3020,33.36332318,-112.2511079
4201,59 Mission Way,active,207949,3,2,3279,33.54966634,-112.2750142
4202,163 Turk Blvd,pending,278208,5,1,2484,33.49988791,-112.3199201
4203,538 Franklin Ave,active,107190,5,1,2978,33.50949791,-112.2061616
4204,121 Indiana Ave,pending,111687,5,1,2301,33.49122065,-112.2900375
4205,64 California Pl,active,232162,5,1,2150,33.56193589,-111.9860605
4206,622 7th Wl,sold,103497,2,1,1107,33.44425528,-112.0247557
4207,293 Franklin Wl,pending,187584,4,3,3655,33.36660726,-111.989681
4208,699 5th Dv,sold,175183,4,3,1676,33.39539642,-111.9092748
4209,588 Page Wl,sold,235465,4,1,1136,33.44333349,-111.9873538
4210,499 2nd Rd,pending,294812,5,1,1680,33.52479671,-112.277497
4211,436 Franklin Way,pending,216659,3,2,1180,33.42401583,-112.2932088
4212,320 4th Way,active,264126,3,1,2307,33.5582098,-111.9255818
4213,676 Blake Ave,sold,137477,5,2,3699,33.48926289,-112.3217954
4214,391 1st Trl,active,218367,3,1,1357,33.50178897,-112.2910969
4215,612 Post Trl,sold,160488,3,1,2806,33.44421015,-112.3363301
4216,506 Pine Ave,sold,238491,5,2,3027,33.59093593,-112.1527657
4217,507 Page Pl,active,190795,5,2,1207,33.56469125,-112.1484169
4218,634 Pine Blvd,active,277170,5,3,2887,33.38371605,-111.8795934
4219,560 9th Wl,sold,256759,5,1,3317,33.50098374,-112.2295601
4220,122 Sutter Vis,active,266002,4,3,1748,33.49509026,-112.0122272
4221,226 2nd Ave,active,100556,3,1,3762,33.42035761,-112.1499386
4222,347 Franklin Way,pending,100466,5,1,3285,33.55503631,-111.9146412
4223,103 4th Ave,active,231854,4,1,1790,33.44951867,-112.2261911
4224,606 1st Ave,sold,117360,2,3,3852,33.3757854,-112.1492826
4225,28 1st Dv,sold,170339,3,1,3040,33.52569338,-112.3484304
4226,44 4th St,sold,153034,3,2,3590,33.3621729,-112.3120691
4227,38 Sutter Blvd,active,184911,4,3,1237,33.50290712,-112.3103294
4228,497 Euclid St,active,163014,2,2,1900,33.43788291,-112.2395115
4229,203 Post Rd,pending,249770,3,1,2926,33.5253445,-111.9648091
4230,579 Mission Trl,sold,255893,2,1,1000,33.38935574,-112.0882128
4231,77 4th Pl,sold,299990,4,3,2015,33.5832583,-112.0232264
4232,359 Bush Dv,sold,179765,4,1,1109,33.36195049,-111.9465785
4233,479 Pine Way,sold,181671,2,1,2687,33.55396187,-112.2752464
4234,274 8th Blvd,active,272031,3,3,1877,33.58548366,-111.9373252
4235,730 Texas Ave,active,196168,4,1,1071,33.4287318,-112.2160195
4236,59 Pine Rd,pending,164904,4,3,2897,33.44664377,-112.3176833
4237,796 5th Blvd,active,235634,3,2,2663,33.39361346,-112.19509
4238,247 Mission Vis,active,227132,2,1,3116,33.38195809,-112.3342337
4239,243 Wall Dv,pending,111725,3,1,1389,33.40125384,-112.0372744
4240,596 6th Pl,sold,193051,2,1,3039,33.56428406,-111.9932106
4241,191 4th Pl,sold,207785,3,3,3327,33.50886557,-111.9639977
4242,389 3rd Dv,sold,264001,3,3,3146,33.50858514,-112.0673019
4243,158 Blake Dv,active,132912,5,2,1949,33.42160743,-112.1557045
4244,304 Euclid Ave,sold,240043,3,2,2837,33.39913726,-112.3605316
4245,86 5th Wl,sold,126497,5,3,2621,33.45658227,-112.2334724
4246,761 Mission Pl,pending,153856,2,3,1982,33.53111039,-111.9466512
4247,291 Indiana Wl,active,178884,3,1,2846,33.53878832,-112.112027
4248,335 Turk Ave,sold,248811,4,2,2902,33.53679426,-112.0059089
4249,94 California Rd,pending,258921,4,2,2148,33.46140277,-112.145
4250,514 6th Dv,active,267477,2,2,2787,33.40211552,-112.310527
4251,596 4th Wl,sold,296896,4,2,2843,33.58540295,-112.1627437
4252,736 5th Blvd,active,238768,3,1,1125,33.51994074,-112.1892235
4253,476 9th Rd,sold,204214,5,2,1252,33.49069604,-112.1504837
4254,378 4th St,sold,100164,4,1,3571,33.53096264,-111.9581733
4255,754 Texas Dv,sold,168418,5,1,2528,33.52373386,-112.3063184
4256,282 8th Ave,pending,134086,3,2,3936,33.49499574,-112.3191654
4257,755 Walnut Blvd,pending,261189,3,1,2878,33.47924459,-112.1388861
4258,94 Blake Blvd,active,107520,5,1,3961,33.57206652,-112.3533669
4259,216 Blake Pl,sold,254818,3,3,1096,33.46650971,-112.313357
4260,616 9th Rd,active,260326,3,3,3012,33.55016229,-112.1845829
4261,100 6th Ave,sold,251938,5,3,2741,33.5531833,-111.9663711
4262,769 1st St,pending,225302,5,2,2211,33.4065003,-111.8893298
4263,181 2nd Wl,pending,109825,3,3,3675,33.43889586,-112.1673326
4264,692 Turk Blvd,sold,140784,2,2,2353,33.40926846,-112.2689437
4265,536 5th Rd,sold,235712,3,1,2193,33.48897394,-112.1751293
4266,515 Euclid Trl,sold,168975,2,1,3123,33.50062039,-112.2896474
4267,161 Bush Cir,sold,238538,3,2,1836,33.37827286,-112.1595495
4268,87 2nd Blvd,sold,261445,2,2,1024,33.37618584,-112.3568477
4269,108 1st Rd,sold,102078,5,2,1269,33.53363002,-112.1119873
4270,363 1st Vis,pending,113615,2,1,2621,33.57219863,-111.8947523
4271,580 Post Dv,sold,123502,5,2,2708,33.56190977,-112.2727218
4272,428 Page St,pending,190352,5,3,3614,33.55403884,-112.026081
4273,419 2nd Blvd,active,259061,3,1,1824,33.49454299,-112.285291
4274,24 Franklin Wl,sold,109317,3,1,2225,33.38451923,-112.3108443
4275,35 Turk Way,active,150162,4,2,3147,33.44699796,-112.0934775
4276,44 Sutter St,active,143581,3,3,1690,33.40125004,-112.1616483
4277,667 9th Pl,pending,212966,3,1,2984,33.4652313,-112.0672503
4278,246 Wall Trl,pending,202739,2,3,3917,33.41705591,-111.8946433
4279,771 Blake Pl,pending,209187,2,2,1094,33.52374498,-111.9419419
4280,382 2nd Wl,active,226290,4,3,2558,33.3945388,-112.3012941
4281,44 Turk Pl,sold,294062,5,2,2453,33.42868931,-112.2641014
4282,309 Turk Ave,active,270787,3,2,2530,33.53579351,-112.2492373
4283,645 Turk Wl,active,108023,5,3,2583,33.5936867,-112.3132287
4284,336 Geary Trl,pending,289994,3,3,3801,33.53352457,-112.2266214
4285,184 1st Cir,pending,241230,4,2,1212,33.47207373,-112.2368106
4286,563 Franklin Blvd,active,132332,3,1,3291,33.59033182,-112.1466348
4287,470 Bush Rd,active,190125,4,2,2407,33.52668536,-112.1545866
4288,599 Indiana Ave,sold,214545,2,2,2105,33.51951951,-111.9639024
4289,516 6th St,pending,120698,3,2,2039,33.421453,-112.3148547
4290,328 6th Cir,sold,163353,5,3,1577,33.36952307,-111.9464443
4291,343 Mission Dv,pending,140361,3,3,1464,33.55367515,-112.2191009
4292,47 Blake St,sold,211914,4,3,1284,33.48355506,-112.1545145
4293,500 Blake Way,active,113272,5,3,1105,33.45744567,-112.0980576
4294,770 Franklin Pl,active,246443,2,1,2687,33.57020121,-112.2374882
4295,157 6th Vis,active,119388,4,3,3643,33.51417685,-112.0018553
4296,621 6th Rd,pending,271730,5,1,2675,33.42931806,-112.3495127
4297,47 Texas Rd,pending,213404,4,3,2012,33.42747875,-111.9121929
4298,43 2nd Ave,pending,291763,3,1,3663,33.47215627,-112.1083552
4299,433 Euclid Vis,pending,223196,3,2,1293,33.42678159,-112.063521
4300,339 Bush Blvd,pending,297124,3,1,2942,33.41337524,-111.9168567
4301,477 Pine Pl,pending,148410,5,1,2260,33.58344615,-112.2463504
4302,82 Wall St,pending,278477,5,2,1476,33.42664665,-112.2069436
4303,524 5th Way,sold,201072,4,3,3205,33.47052014,-112.3189564
4304,10 6th Blvd,active,256065,3,3,3710,33.57539005,-112.0332189
4305,481 Pine Vis,sold,266598,4,2,2564,33.38023182,-111.96168
4306,744 Walnut Way,pending,208740,4,1,3437,33.54893624,-111.9328276
4307,520 Bush Pl,active,209341,3,2,3012,33.39140156,-112.2970196
4308,71 7th Cir,active,227568,4,2,2549,33.55522046,-112.2550487
4309,297 Indiana Vis,sold,209106,5,3,3022,33.38988199,-111.9632861
4310,783 Franklin Dv,active,103659,2,3,1714,33.54609012,-111.9388053
4311,232 9th Wl,sold,190306,2,3,2611,33.56327778,-112.262075
4312,762 Wall Dv,active,234650,3,2,3230,33.36210399,-112.3238796
4313,512 Blake Ave,pending,186405,2,2,3066,33.59375415,-111.9740801
4314,441 3rd Trl,sold,245368,2,3,3337,33.52613277,-111.914773
4315,652 3rd Blvd,sold,200581,5,3,3372,33.56997955,-112.282329
4316,64 Geary Rd,pending,233697,3,2,1269,33.38225308,-112.3249647
4317,236 9th Trl,sold,119538,4,2,2779,33.56411251,-112.1264594
4318,438 3rd Ave,pending,153196,3,2,3586,33.4704441,-111.9547298
4319,17 Bush Way,sold,241956,4,2,1056,33.42629345,-112.2651538
4320,450 Post St,sold,209695,3,2,2232,33.54696885,-111.9920029
4321,747 3rd Pl,pending,157521,2,3,1982,33.38091787,-111.9909224
4322,772 8th Blvd,active,265295,3,3,1897,33.41442098,-112.2015815
4323,621 8th Way,pending,192128,3,3,2793,33.52298815,-112.0514916
4324,26 8th Pl,pending,135343,4,2,3016,33.46787762,-112.3486926
4325,117 Turk Dv,sold,110754,5,1,3902,33.46920727,-112.3185639
4326,490 Geary Cir,sold,179805,4,1,3870,33.56847819,-112.3568684
4327,291 Walnut Vis,active,287904,5,2,1831,33.46511346,-112.1213625
4328,417 3rd Way,sold,114787,2,3,1273,33.59014828,-111.8733804
4329,482 California Ave,sold,296439,4,1,3296,33.46126128,-112.2910101
4330,400 Euclid Wl,active,293314,2,3,3603,33.5209816,-112.3301673
4331,170 9th Cir,active,249511,3,3,1197,33.42449695,-111.975521
4332,120 6th Rd,sold,187233,3,2,1012,33.54888902,-112.1842436
4333,489 2nd Rd,sold,169229,4,3,1939,33.38781246,-112.1249049
4334,145 Post Wl,sold,253586,3,3,3127,33.39984421,-111.9086726
4335,772 4th Wl,pending,228680,3,1,3735,33.38642432,-112.0263058
4336,480 9th Trl,pending,126001,4,2,1898,33.54589407,-112.118353
4337,71 Blake Blvd,sold,281744,4,2,2913,33.48647749,-112.2198158
4338,691 8th Trl,active,110561,5,2,2984,33.50113324,-112.2310802
4339,232 5th Blvd,sold,258776,4,3,2550,33.50111171,-112.3226077
4340,43 Indiana Rd,active,173820,2,3,2863,33.45564656,-111.9824778
4341,408 Post Cir,active,194645,4,1,3234,33.56038775,-112.2311475
4342,417 Walnut Vis,sold,233375,5,3,3116,33.39360364,-112.1138867
4343,157 Wall Pl,pending,176923,2,1,3673,33.52177561,-112.1852093
4344,586 1st Dv,pending,273779,4,3,2077,33.39651771,-112.3284623
4345,767 Mission Wl,active,201319,2,1,2705,33.49540949,-112.154971
4346,682 Mission Ave,sold,247222,2,3,1288,33.36378335,-111.9165809
4347,270 Texas St,pending,198396,2,2,1843,33.42949542,-111.9111427
4348,224 7th Vis,pending,122464,4,1,1290,33.4398367,-112.1263241
4349,675 2nd Dv,active,167496,5,3,2206,33.53186268,-111.9056538
4350,580 1st Rd,pending,121945,4,3,1181,33.46818353,-112.2394491
4351,663 4th Cir,active,261053,4,1,3743,33.54444479,-112.3358247
4352,371 Pine Pl,pending,223746,3,3,2238,33.51916562,-112.2942764
4353,150 Euclid Blvd,sold,181308,2,3,3143,33.3935743,-112.2909601
4354,40 Bush Ave,active,109036,3,2,2647,33.55435911,-112.0240733
4355,512 3rd Blvd,sold,156029,3,3,3496,33.58846143,-111.9356369
4356,637 Euclid Blvd,sold,269938,2,3,1294,33.39419026,-111.974011
4357,65 1st Dv,pending,206863,3,3,3163,33.40091174,-112.3606918
4358,89 7th Vis,sold,272615,3,3,2594,33.43651559,-111.8885653
4359,501 Pine Wl,active,122697,2,2,1433,33.397943,-111.9482796
4360,596 Geary St,pending,127812,4,2,2451,33.54442887,-112.1585911
4361,87 7th Trl,active,132760,5,2,1310,33.42958731,-112.3366568
4362,180 Geary Ave,active,116652,3,3,1036,33.41939467,-111.9993082
4363,793 Post Blvd,pending,179972,3,3,3039,33.58452211,-112.2265499
4364,116 Sutter Vis,sold,100204,5,1,3770,33.45253884,-112.252232
4365,436 Sutter Ave,active,251775,4,2,3187,33.48682472,-112.0036081
4366,688 3rd Vis,pending,268710,4,1,2156,33.44500253,-111.9517825
4367,55 Indiana Wl,sold,184507,2,2,2922,33.36806954,-112.3377275
4368,792 Blake Trl,pending,260783,5,2,3841,33.39917633,-112.2938891
4369,633 Walnut Vis,pending,192723,2,3,1324,33.5438491,-111.892102
4370,363 Blake Wl,active,282462,4,3,3181,33.37162818,-112.0167812
4371,117 Page Ave,pending,227449,3,1,3638,33.44809902,-112.1743996
4372,314 Sutter Ave,sold,106347,5,2,1447,33.49313739,-112.1026495
4373,60 Bush Pl,active,290105,2,3,1268,33.53800912,-112.2033693
4374,419 1st Blvd,sold,128603,2,3,2929,33.54122367,-112.2176698
4375,173 9th Blvd,sold,155153,4,2,2195,33.54291601,-112.1962809
4376,598 Pine Blvd,pending,199240,4,3,1431,33.45598392,-112.2644671
4377,641 5th Dv,sold,255439,3,3,3607,33.5499202,-112.3421949
4378,488 Indiana Wl,active,121659,2,2,2939,33.45572133,-112.0270531
4379,734 Franklin Dv,active,289339,5,1,2269,33.49894788,-111.9878407
4380,491 Texas St,active,134796,5,3,3910,33.38164827,-112.1305644
4381,346 Pine Pl,sold,285608,5,2,3159,33.38231018,-111.8951115
4382,400 Turk Vis,pending,216114,3,1,3721,33.50800653,-112.0697701
4383,55 5th Vis,pending,284203,5,3,1266,33.3669041,-112.1679909
4384,292 Wall Vis,active,134707,5,3,1890,33.388395,-111.9383017
4385,69 4th Pl,sold,156555,5,2,3805,33.45505697,-111.9929284
4386,472 6th Cir,sold,249074,2,2,2672,33.50731169,-112.2511707
4387,359 1st Way,active,170413,5,3,1272,33.4145106,-112.332671
4388,646 Bush Cir,active,253740,4,2,1349,33.57586549,-112.0729879
4389,510 4th Trl,pending,184782,4,3,2050,33.52653919,-112.3200036
4390,60 4th Pl,sold,126164,3,2,1815,33.36963502,-112.3427321
4391,588 Franklin Ave,sold,277814,4,1,2812,33.46627655,-111.9728483
4392,465 Wall St,active,136011,4,3,2304,33.43794007,-112.0771252
4393,345 Page Way,active,216256,5,1,3387,33.46039139,-112.1830653
4394,86 2nd Wl,pending,202053,4,3,1845,33.56925642,-112.1230016
4395,207 1st Ave,pending,116917,3,3,1424,33.51221456,-112.1354639
4396,300 Euclid Wl,pending,164510,3,3,1406,33.53407086,-112.0889354
4397,283 Post Rd,pending,290394,2,1,3389,33.53605619,-111.9554723
4398,580 Page Vis,active,201760,2,1,2763,33.43187359,-112.0086183
4399,399 Geary Rd,active,170260,2,1,2581,33.38382002,-112.1012795
4400,219 5th Ave,pending,174376,5,1,1774,33.5452798,-112.1647875
4401,479 Post Wl,pending,127776,2,3,2563,33.4794667,-112.2944181
4402,654 Franklin Pl,sold,262004,2,3,2212,33.51184842,-112.1777024
4403,376 California St,pending,248202,3,1,3916,33.503333,-112.0709792
4404,577 Walnut St,active,291894,4,1,1229,33.40412646,-111.9537691
4405,224 Mission Way,pending,110941,4,1,2425,33.3682045,-111.9887451
4406,138 Euclid Trl,sold,158198,2,3,2855,33.44630779,-112.176776
4407,405 Turk Cir,active,188867,3,2,1688,33.40102627,-112.0766139
4408,285 Pine Blvd,sold,187068,5,1,1139,33.40689258,-112.2458991
4409,100 Texas Dv,active,118191,3,1,3682,33.55613532,-112.2787952
4410,389 California Ave,sold,174775,5,3,2568,33.56917639,-112.2584465
4411,113 5th Rd,pending,236041,3,1,1210,33.55006264,-111.9627467
4412,297 Walnut Trl,pending,132859,4,2,3846,33.50153943,-112.1794372
4413,294 8th Dv,pending,175169,2,1,3001,33.57347041,-111.9109169
4414,231 1st Dv,pending,279797,2,2,2643,33.36390902,-111.9897212
4415,536 Euclid Cir,sold,160666,5,1,3109,33.57345074,-112.0212333
4416,81 9th Blvd,sold,202577,2,1,2235,33.43034147,-112.0106187
4417,148 2nd Way,active,123065,2,3,1558,33.48933798,-112.2152826
4418,497 4th Cir,sold,186428,4,1,3223,33.51644386,-112.0870635
4419,543 Sutter Vis,sold,252258,2,1,2594,33.5824966,-112.164904
4420,349 Post Cir,pending,258673,3,3,2146,33.51789339,-111.8895518
4421,227 Post Pl,sold,164127,2,3,3498,33.44947472,-112.3214253
4422,65 2nd Cir,pending,269969,2,3,2110,33.46697268,-112.2194635
4423,546 Mission Blvd,active,244878,5,1,2672,33.38036327,-111.9055324
4424,383 9th Trl,sold,219581,2,2,3743,33.42452379,-112.0610052
4425,320 5th Vis,pending,158401,5,2,1680,33.47628148,-112.3465222
4426,181 Sutter Wl,sold,171849,3,3,3335,33.49619467,-112.2464436
4427,641 3rd Trl,sold,279878,3,1,3767,33.50493737,-111.8899658
4428,792 9th Way,active,123471,2,3,1329,33.43259075,-112.3060633
4429,529 Post Blvd,pending,257701,3,3,2661,33.40391737,-112.334468
4430,604 Wall Ave,sold,125301,2,3,2776,33.40606628,-111.988121
4431,167 California Way,pending,152462,2,2,2919,33.57994186,-112.3083904
4432,611 Wall Cir,pending,258408,2,1,2341,33.38711089,-112.247881
4433,156 1st Blvd,sold,122148,4,1,2294,33.49917285,-111.8827598
4434,59 Texas Wl,pending,278352,5,1,3094,33.43514019,-112.2153195
4435,647 Pine Trl,sold,293518,4,3,1424,33.49230208,-112.3591206
4436,36 Bush Pl,pending,274586,4,2,3216,33.46015409,-111.9110301
4437,673 8th Cir,pending,189885,4,3,3832,33.53013923,-112.0796901
4438,704 Pine Vis,pending,183736,2,1,2513,33.4056117,-111.9769851
4439,499 Blake Cir,pending,141819,5,2,1619,33.43873065,-112.2478794
4440,107 Euclid Rd,sold,142097,3,1,3760,33.57051576,-112.0430034
4441,155 Turk St,pending,134389,5,3,2126,33.51696454,-112.2253522
4442,185 Franklin Dv,pending,204007,4,2,2278,33.48667675,-112.2699476
4443,30 6th Vis,active,233063,2,2,3424,33.40762412,-112.3004065
4444,645 Texas Way,active,228092,2,1,1098,33.3746497,-111.9754552
4445,656 Blake Blvd,sold,175758,4,3,3918,33.41848011,-112.3138895
4446,714 5th Trl,active,104301,4,3,3648,33.55630097,-112.1209202
4447,141 5th Vis,pending,232044,3,1,3620,33.58732455,-112.1493475
4448,255 Pine Cir,pending,250621,2,2,2215,33.47490574,-112.3008989
4449,540 Turk Blvd,pending,205780,5,2,3911,33.43495903,-112.1197405
4450,471 Sutter Cir,sold,256422,3,1,3927,33.43276039,-112.3143951
4451,601 8th Vis,sold,255410,3,2,1767,33.58292234,-112.0675276
4452,318 Sutter Vis,active,233843,2,2,1943,33.37755569,-112.2524662
4453,287 Turk Rd,sold,146562,2,1,3244,33.40966067,-112.2000013
4454,314 Post Rd,sold,193196,4,3,3306,33.46306242,-112.0326921
4455,742 2nd Rd,active,175130,4,3,3568,33.53155715,-112.2242858
4456,289 4th Wl,pending,279711,2,2,3309,33.41192109,-112.3168591
4457,615 3rd St,pending,212381,5,2,3662,33.55861072,-112.0507946
4458,421 2nd Rd,pending,183388,3,3,3063,33.44174989,-112.209467
4459,793 Franklin Pl,sold,234859,2,3,3640,33.38009834,-112.0513051
4460,405 Walnut Ave,sold,142158,2,2,1107,33.58653637,-112.2460629
4461,636 8th Ave,sold,122082,5,1,3001,33.47133659,-111.8847405
4462,747 Sutter Trl,sold,272674,4,3,3156,33.37212562,-112.0084337
4463,742 Pine Rd,active,110410,3,3,1451,33.48275515,-112.199152
4464,627 2nd Vis,pending,282199,3,3,1545,33.38796134,-112.3582764
4465,72 Pine Wl,active,142073,3,3,3861,33.57117667,-111.9107115
4466,797 Turk St,sold,153846,3,3,1716,33.57384113,-111.8818667
4467,395 2nd Vis,active,191203,4,3,2469,33.44615151,-112.0583317
4468,193 Blake Trl,sold,214347,4,1,1262,33.40392746,-112.2552644
4469,334 1st Pl,active,256502,2,3,3620,33.54129161,-112.2410249
4470,24 Wall Blvd,pending,103010,2,2,3561,33.55405092,-111.8925982
4471,336 6th Cir,active,271993,4,1,2602,33.43371782,-111.9957295
4472,174 Page Vis,pending,272452,3,3,3007,33.57562656,-112.0482936
4473,171 4th St,active,285895,4,2,2023,33.4181821,-112.2177489
4474,69 6th Cir,active,260124,4,3,1068,33.41947061,-112.2828832
4475,307 5th Dv,sold,122564,4,1,1328,33.4696154,-112.3202545
4476,614 Wall Cir,pending,295788,3,3,3044,33.48221395,-112.2906854
4477,513 5th Cir,pending,207777,2,3,2864,33.45560413,-111.9316741
4478,635 California Wl,pending,160135,3,3,2689,33.36088859,-111.9418167
4479,71 Page Rd,active,198739,4,1,1915,33.38846142,-112.2813581
4480,788 2nd Blvd,sold,242283,4,3,2648,33.44105877,-112.1780622
4481,631 Sutter Trl,sold,128176,5,3,2131,33.47208155,-112.0036661
4482,675 6th Vis,pending,245269,3,1,3530,33.54769745,-112.2540089
4483,439 Indiana Blvd,pending,297280,2,3,2535,33.50872781,-112.1547706
4484,197 Franklin Cir,sold,116323,2,3,1018,33.48176918,-112.1805826
4485,17 6th Wl,pending,195443,2,2,1904,33.56313288,-112.2922922
4486,727 4th Pl,sold,206843,4,3,2221,33.53404932,-112.0778909
4487,215 California Blvd,active,244759,4,1,3636,33.43061978,-111.9946549
4488,668 9th Ave,active,177332,5,2,3895,33.39366485,-112.2432795
4489,594 Blake Pl,pending,268704,4,1,1968,33.5745682,-112.1540287
4490,600 Post Pl,active,263608,2,1,3462,33.4184595,-112.3022344
4491,364 Euclid Way,sold,238567,3,1,1992,33.42846896,-111.8961769
4492,534 6th Blvd,active,270198,4,2,2520,33.57178418,-112.1455316
4493,555 Walnut Dv,sold,298658,3,2,2295,33.48315971,-112.0052554
4494,118 Euclid Cir,sold,235697,2,2,3632,33.58780507,-112.1471816
4495,45 Franklin Pl,pending,241891,4,2,3274,33.57221286,-112.0173585
4496,520 8th Dv,pending,119952,3,2,2463,33.37918335,-112.3035416
4497,360 California St,active,227772,5,3,3719,33.56759812,-112.2148938
4498,364 1st Pl,active,210266,5,3,2183,33.42799249,-112.0922213
4499,721 5th Pl,active,114044,4,3,3845,33.36125846,-111.877967
